Name,Chinese,Math,English,Physics,Chemistry,Biology,Total
Isaac Newton,87,89,83,81,85,82,507
James Clerk Maxwell,82,84,85,87,83,84,505
曹雪芹,86,85,82,83,84,85,505
张衡,84,82,85,87,84,82,504
朱熹,85,83,86,83,85,81,503
鲁迅,83,82,85,87,83,82,502
Robert Boyle,85,88,82,78,85,83,501
严复,82,84,83,84,82,85,500
John Wesley,83,85,80,84,82,84,498
Ada Lovelace,80,81,87,81,83,86,498
李时中,82,86,80,84,85,81,498
王安石,83,81,84,81,84,85,498
蔡元培,85,87,80,83,81,82,498
张之洞,83,82,84,81,85,82,497
John Locke,81,84,80,84,83,82,494
James Watt,84,81,79,82,83,85,494
Charles Darwin,81,80,83,85,83,81,493
张世杰,82,84,83,81,82,80,492
Benjamin Disraeli,80,85,82,80,83,81,491
蒲松龄,80,81,85,83,81,80,490
Jane Austen,82,81,86,80,82,78,489
Queen Elizabeth I,82,84,79,83,81,80,489
John Donne,81,79,84,83,82,80,489
Roger Bacon,82,85,78,80,83,81,489
张载,81,83,79,82,81,83,489
Charles Darwin,82,83,78,77,82,85,487
苏轼,80,81,77,84,83,80,485
李渔,81,82,80,79,83,80,485
Virginia Woolf,77,79,80,84,81,83,484
墨子,82,79,77,83,82,81,484
Edmund Burke,78,80,79,83,81,82,483
John Milton,78,80,79,81,82,83,483
胡适,79,80,81,82,80,81,483
司马光,78,79,81,80,83,81,482
John Wesley,82,80,85,74,78,82,481
Robert Walpole,79,76,82,77,81,85,480
William Pitt the Younger,80,79,81,80,78,82,480
孟子,78,77,79,81,82,83,480
陶行知,80,81,77,82,79,81,480
John Milton,79,80,76,82,83,79,479
Edmund Spenser,78,80,77,79,81,83,478
李斯,80,81,79,76,81,81,478
梁启超,78,79,81,79,81,80,478
William Wordsworth,77,79,81,78,80,82,477
班固,77,80,78,81,80,81,477
欧阳修,77,78,81,79,80,82,477
Christopher Wren,79,81,76,78,82,80,476
孔子,76,78,80,82,79,81,476
韩非子,80,83,76,77,81,79,476
李清照,78,77,80,81,82,78,476
纪晓岚,77,79,81,78,79,82,476
Elizabeth II,77,79,80,81,78,80,475
George Eliot,78,80,76,79,78,83,474
吴敬梓,77,75,79,81,80,82,474
Henry VII,81,82,75,77,80,78,473
William Tyndale,75,73,81,83,80,81,473
Florence Nightingale,75,72,81,83,80,82,473
文天祥,75,76,79,82,79,81,472
David Hume,77,79,76,78,77,81,468
Mary Shelley,77,74,79,80,77,81,468
Queen Victoria,75,72,78,82,79,80,466
Isambard Kingdom Brunel,75,76,79,77,78,81,466
荀子,76,73,79,81,78,77,464
陆游,76,74,78,79,77,80,464
司马迁,75,76,74,80,78,79,462
王充,73,75,79,77,80,78,462
郭沫若,76,78,75,80,79,74,462
John Keats,71,74,72,82,85,77,461
Alfred the Great,72,70,78,81,80,79,460
Thomas Hardy,75,74,80,78,77,76,460
Winston Churchill,76,79,74,78,81,71,459
冯梦龙,73,74,76,79,77,80,459
康有为,75,74,76,77,79,78,459
Jane Goodall,73,71,77,80,75,82,458
于谦,76,77,73,80,77,75,458
宋慈,72,73,77,81,78,76,457
Florence Nightingale,69,72,79,80,76,79,455
辛弃疾,75,76,73,80,77,74,455
Charles Dickens,76,73,78,75,79,73,454
John Ruskin,76,73,75,77,80,73,454
George IV,76,78,73,77,74,76,454
Thomas Hobbes,74,78,72,75,76,78,453
Robert Burns,73,72,76,78,75,79,453
吴承恩,73,75,72,78,76,79,453
Emily Bronte,71,73,78,79,75,76,452
Robert Peel,76,78,75,72,74,77,452
David Livingstone,71,73,77,80,76,75,452
Margaret Thatcher,72,71,80,76,78,74,451
Oliver Cromwell,73,77,74,71,73,80,448
Thomas More,72,76,73,70,76,79,446
Edward VI,70,72,76,79,75,72,444
John Knox,72,74,71,76,73,78,444
William Shakespeare,73,75,70,70,73,78,439
Henry VIII,68,72,70,76,73,77,436
George III,68,70,74,77,76,69,434
William the Conqueror,72,74,70,69,71,75,431
